key,name,normalized,primary_muscle,equipment,movement,difficulty,classification,matched_existing,matched_name,reason,author_hint,integrity_problems
adductor_machine,Hip Adduction Machine,adduction hip machine,ADDUCTORS,MACHINE,isolation,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
cable_hip_adduction,Cable Hip Adduction,adduction cable hip,ADDUCTORS,CABLE,isolation,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
copenhagen_plank,Copenhagen Plank,copenhagen plank,ADDUCTORS,BODYWEIGHT,core,ADVANCED,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
cossack_squat,Cossack Squat,cossack squat,ADDUCTORS,BODYWEIGHT,lunge,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
abductor_machine,Hip Abduction Machine (Seated),abduction hip machine seated,ABDUCTORS,MACHINE,isolation,BEGINNER,ALIAS_TO_EXISTING,hip_abduction_machine,Hip Abduction Machine,"author-flagged alias of ""hip_abduction_machine"" (auto-check did not independently match — confirm)",ALIAS→hip_abduction_machine,
cable_hip_abduction,Cable Hip Abduction,abduction cable hip,ABDUCTORS,CABLE,isolation,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
pendulum_squat,Pendulum Squat,pendulum squat,QUADS,MACHINE,squat,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
reverse_hack_squat,Reverse Hack Squat,hack reverse squat,GLUTES,MACHINE,squat,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
iso_lateral_chest_press,Iso-Lateral Chest Press,chest iso lateral press,CHEST,MACHINE,horizontal_push,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
iso_lateral_row,Iso-Lateral Row,iso lateral row,UPPER BACK,MACHINE,horizontal_pull,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
iso_lateral_pulldown,Iso-Lateral Pulldown,iso lateral pulldown,LATS,MACHINE,vertical_pull,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
assisted_pull_up,Assisted Pull-Up (Machine),assisted machine pull up,LATS,MACHINE,vertical_pull,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
assisted_dip,Assisted Dip (Machine),assisted dip machine,CHEST,MACHINE,horizontal_push,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
converging_chest_press,Converging Chest Press Machine,chest converging machine press,CHEST,MACHINE,horizontal_push,BEGINNER,ALIAS_TO_EXISTING,machine_chest_press,Machine Chest Press,"author-flagged alias of ""machine_chest_press"" (auto-check did not independently match — confirm)",ALIAS→machine_chest_press,
belt_squat,Belt Squat,belt squat,QUADS,MACHINE,squat,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
seal_row,Seal Row,row seal,UPPER BACK,BARBELL,horizontal_pull,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
machine_crunch,Machine Crunch,crunch machine,ABS,MACHINE,core,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
glute_kickback_machine,Glute Kickback Machine,glute kickback machine,GLUTES,MACHINE,isolation,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
hip_thrust_machine,Hip Thrust Machine,hip machine thrust,GLUTES,MACHINE,hinge,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
seated_leg_press_horizontal,Seated Leg Press (Horizontal),horizontal leg press seated,QUADS,MACHINE,squat,BEGINNER,ALIAS_TO_EXISTING,leg_press,Leg Press,"author-flagged alias of ""leg_press"" (auto-check did not independently match — confirm)",ALIAS→leg_press,
smith_row,Smith Machine Row,machine row smith,UPPER BACK,SMITH,horizontal_pull,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
smith_hip_thrust,Smith Machine Hip Thrust,hip machine smith thrust,GLUTES,SMITH,hinge,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
smith_calf_raise,Smith Machine Calf Raise,calve machine raise smith,CALVES,SMITH,isolation,BEGINNER,ALIAS_TO_EXISTING,standing_calf_raise,Standing Calf Raise,"author-flagged alias of ""standing_calf_raise"" (auto-check did not independently match — confirm)",ALIAS→standing_calf_raise,
single_arm_db_bench,Single-Arm Dumbbell Bench Press,arm bench dumbbell press single,CHEST,DUMBBELL,horizontal_push,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
single_leg_press,Single-Leg Press,leg press single,QUADS,MACHINE,squat,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
single_leg_extension,Single-Leg Extension,extension leg single,QUADS,MACHINE,isolation,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
single_leg_curl,Single-Leg Curl,curl leg single,HAMSTRINGS,MACHINE,isolation,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
b_stance_rdl,B-Stance Romanian Deadlift,b deadlift romanian stance,HAMSTRINGS,DUMBBELL,hinge,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
single_arm_landmine_row,Single-Arm Landmine Row,arm landmine row single,UPPER BACK,BARBELL,horizontal_pull,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
single_arm_db_ohp,Single-Arm Dumbbell Overhead Press,arm dumbbell overhead press single,SHOULDERS,DUMBBELL,vertical_push,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
single_arm_cable_curl,Single-Arm Cable Curl,arm cable curl single,BICEPS,CABLE,isolation,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
suitcase_deadlift,Suitcase Deadlift,deadlift suitcase,CORE,DUMBBELL,hinge,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
single_leg_hip_thrust,Single-Leg Hip Thrust,hip leg single thrust,GLUTES,BODYWEIGHT,hinge,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
single_arm_db_row,Single-Arm Dumbbell Row,arm dumbbell row single,LATS,DUMBBELL,horizontal_pull,BEGINNER,ALIAS_TO_EXISTING,dumbbell_row,Dumbbell Row,"author-flagged alias of ""dumbbell_row"" (auto-check did not independently match — confirm)",ALIAS→dumbbell_row,
single_arm_triceps_pushdown,Single-Arm Triceps Pushdown,arm pushdown single tricep,TRICEPS,CABLE,isolation,BEGINNER,ALIAS_TO_EXISTING,single_arm_pushdown,Single-Arm Pushdown,"author-flagged alias of ""single_arm_pushdown"" (auto-check did not independently match — confirm)",ALIAS→single_arm_pushdown,
single_arm_lat_pulldown_machine,Single-Arm Lat Pulldown (Machine),arm lat machine pulldown single,LATS,MACHINE,vertical_pull,BEGINNER,ALIAS_TO_EXISTING,single_arm_pulldown,Single-Arm Pulldown,"author-flagged alias of ""single_arm_pulldown"" (auto-check did not independently match — confirm)",ALIAS→single_arm_pulldown,
db_z_press,Dumbbell Z Press,dumbbell press z,SHOULDERS,DUMBBELL,vertical_push,ADVANCED,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
db_floor_press,Dumbbell Floor Press,dumbbell floor press,CHEST,DUMBBELL,horizontal_push,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
db_skull_crusher,Dumbbell Skull Crusher,crusher dumbbell skull,TRICEPS,DUMBBELL,isolation,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
db_preacher_curl,Dumbbell Preacher Curl,curl dumbbell preacher,BICEPS,DUMBBELL,isolation,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
incline_db_row,Incline Dumbbell Row,dumbbell incline row,UPPER BACK,DUMBBELL,horizontal_pull,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
zottman_curl,Zottman Curl,curl zottman,BICEPS,DUMBBELL,isolation,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
