exercise_id,canonical_name,aliases,muscle_group,sub_muscle_group,primary_muscles,secondary_muscles,equipment,equipment_category,movement_pattern,exercise_type,compound_or_isolation,unilateral_or_bilateral,bodyweight,difficulty,beginner_friendly,tracking_type,min_reps,max_reps,instructions,form_cues,common_mistakes,progression_exercises,regression_exercises,alternative_exercises,status,source
exl_nGdSMtEVAP,Cable Hip Abduction,,legs,,ABDUCTORS,GLUTES,CABLE,cable,isolation,cable,isolation,unilateral,no,BEGINNER,yes,weight_reps,12,20,,,,,,band_walks | hip_abduction_machine,active,NEW
exl_51BLHgFPLk,Ab Wheel Rollout,,core,,ABS,"CORE, LATS",BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,ADVANCED,no,bodyweight_reps,10,15,,,,,trx_fallout,trx_fallout,active,EXISTING
exl_pjlTJfid8Q,Bicycle Crunch,,core,,ABS,"OBLIQUES, CORE",BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,BEGINNER,yes,bodyweight_reps,10,15,,,,,,oblique_crunch,active,EXISTING
exl_nwJHryk7zD,Cable Crunch,,core,,ABS,CORE,CABLE,cable,core/anti-movement,cable,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,machine_crunch,active,EXISTING
exl_o4TYW7kkEx,Hanging Knee Raise,,core,,ABS,CORE,BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,BEGINNER,yes,bodyweight_reps,10,20,,,,toes_to_bar | hanging_leg_raise,,,active,NEW
exl_AWDLmS7syX,Hanging Leg Raise,,core,,ABS,CORE,BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,INTERMEDIATE,no,bodyweight_reps,10,15,,,,toes_to_bar,hanging_knee_raise,,active,EXISTING
exl_3QaOBvVkIK,Machine Crunch,crunch,core,,ABS,CORE,MACHINE,machine,core/anti-movement,machine,isolation,bilateral,no,BEGINNER,yes,weight_reps,12,20,,,,,,reverse_crunch | cable_crunch,active,NEW
exl_0FvMzPKeB3,Reverse Crunch,,core,,ABS,CORE,BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,BEGINNER,yes,bodyweight_reps,10,15,,,,,,machine_crunch,active,EXISTING
exl_kIE1ergiWf,Russian Twist,,core,,ABS,"OBLIQUES, CORE",BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,BEGINNER,yes,bodyweight_reps,10,15,,,,,,oblique_crunch | landmine_rotation,active,EXISTING
exl_ba6dcqZOpn,Toes-to-Bar,toes to bar,core,,ABS,"CORE, LATS",PULL_UP_BAR,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,ADVANCED,no,bodyweight_reps,6,12,,,,,hanging_leg_raise | hanging_knee_raise,,active,NEW
exl_gAGgkfrdjO,V-Up,,core,,ABS,"CORE, HIP FLEXORS",BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,INTERMEDIATE,no,bodyweight_reps,10,15,,,,,,,active,EXISTING
exl_u6q9eIJam7,Windshield Wiper,,core,,ABS,"OBLIQUES, CORE",BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,ADVANCED,no,bodyweight_reps,10,15,,,,,,,active,EXISTING
exl_h0mI74TyuR,Cable Hip Adduction,,legs,,ADDUCTORS,,CABLE,cable,isolation,cable,isolation,unilateral,no,BEGINNER,yes,weight_reps,12,20,,,,,,adductor_machine,active,NEW
exl_H07F7vB95w,Copenhagen Plank,,legs,,ADDUCTORS,"CORE, OBLIQUES",BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,unilateral,yes,ADVANCED,no,time,20,40,,,,,side_plank,adductor_machine,active,NEW
exl_g8Npvx0nyk,Cossack Squat,,legs,,ADDUCTORS,"QUADS, GLUTES",BODYWEIGHT,bodyweight,lunge,bodyweight,compound,unilateral,yes,INTERMEDIATE,no,bodyweight_reps,8,12,,,,,lateral_lunge,lateral_lunge,active,NEW
exl_vKiR85plpI,Hip Adduction Machine,hip adduction,legs,,ADDUCTORS,,MACHINE,machine,isolation,machine,isolation,bilateral,no,BEGINNER,yes,weight_reps,12,20,,,,,,copenhagen_plank | cable_hip_adduction,active,NEW
exl_POe2mwkxmE,Band Bicep Curl,,arms,,BICEPS,FOREARMS,BANDS,functional,isolation,bodyweight,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_3biU4u0LDR,Barbell Curl,,arms,,BICEPS,FOREARMS,BARBELL,free weights,isolation,free_weight,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_AQVL4ZsUtT,Bayesian Cable Curl,,arms,,BICEPS,FOREARMS,CABLE,cable,isolation,cable,isolation,bilateral,no,INTERMEDIATE,no,weight_reps,10,15,,,,,,single_arm_cable_curl,active,EXISTING
exl_Rolt3Vd3fD,Bicep Curl,curl | barbell curl | db curl | dumbbell curl | dumbbell bicep curl | dumbbell biceps curl | db bicep curl | db biceps curl,arms,,BICEPS,FOREARMS,DUMBBELL,free weights,isolation,free_weight,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_NKr6oLwyiW,Cable Curl,,arms,,BICEPS,FOREARMS,CABLE,cable,isolation,cable,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,single_arm_cable_curl,active,EXISTING
exl_nM8M3WD5Pt,Concentration Curl,,arms,,BICEPS,FOREARMS,DUMBBELL,free weights,isolation,free_weight,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,db_preacher_curl,active,EXISTING
exl_pEjSS5UxrH,Drag Curl,,arms,,BICEPS,FOREARMS,BARBELL,free weights,isolation,free_weight,isolation,bilateral,no,INTERMEDIATE,no,weight_reps,10,15,,,,,,,active,EXISTING
exl_UnH8SiLN4Q,Dumbbell Preacher Curl,db preacher curl,arms,,BICEPS,FOREARMS,DUMBBELL,free weights,isolation,free_weight,isolation,unilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,preacher_curl | concentration_curl,active,NEW
exl_zhZwcb1dGL,EZ-Bar Curl,,arms,,BICEPS,FOREARMS,BARBELL,free weights,isolation,free_weight,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_Mml1I1Qqog,Hammer Curl,hammer curls | db hammer curl | pinwheel curl | cross body curl | cross body hammer curl,arms,,BICEPS,"FOREARMS, BRACHIALIS",DUMBBELL,free weights,isolation,free_weight,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,zottman_curl,active,EXISTING
exl_kPTOLzefV8,Incline Dumbbell Curl,,arms,,BICEPS,FOREARMS,DUMBBELL,free weights,isolation,free_weight,isolation,bilateral,no,INTERMEDIATE,no,weight_reps,10,15,,,,,,,active,EXISTING
exl_8YLb0jf9hh,Preacher Curl,,arms,,BICEPS,FOREARMS,BARBELL,free weights,isolation,free_weight,isolation,bilateral,no,INTERMEDIATE,no,weight_reps,10,15,,,,,,db_preacher_curl,active,EXISTING
exl_teCgZYriuL,Single-Arm Cable Curl,single arm cable curl | one arm cable curl,arms,,BICEPS,FOREARMS,CABLE,cable,isolation,cable,isolation,unilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,bayesian_curl | cable_curl,active,NEW
exl_Rj80nr42Ki,Spider Curl,,arms,,BICEPS,FOREARMS,BARBELL,free weights,isolation,free_weight,isolation,bilateral,no,INTERMEDIATE,no,weight_reps,10,15,,,,,,,active,EXISTING
exl_iE17F7GGgD,Zottman Curl,,arms,,BICEPS,FOREARMS,DUMBBELL,free weights,isolation,free_weight,isolation,bilateral,no,INTERMEDIATE,no,weight_reps,10,15,,,,,,reverse_curl | hammer_curl,active,NEW
exl_fVZ71TX3bb,Calf Press on Leg Press,,legs,,CALVES,,LEG_PRESS,machine,isolation,machine,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_uMyqICelD7,Donkey Calf Raise,,legs,,CALVES,,MACHINE,machine,isolation,machine,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_Xs4YmnFVns,Seated Calf Raise,,legs,,CALVES,,MACHINE,machine,isolation,machine,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_TtXOyytW1U,Single-Leg Calf Raise,,legs,,CALVES,,BODYWEIGHT,bodyweight,isolation,bodyweight,isolation,unilateral,yes,BEGINNER,yes,bodyweight_reps,10,15,,,,,,,active,EXISTING
exl_3UmT49H2Y1,Standing Calf Raise,smith machine calf raise | smith calf raise,legs,,CALVES,,MACHINE,machine,isolation,machine,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_Mzznkck355,Tibialis Raise,,legs,,CALVES,,BODYWEIGHT,bodyweight,isolation,bodyweight,isolation,bilateral,yes,BEGINNER,yes,bodyweight_reps,10,15,,,,,,,active,EXISTING
exl_18ILsdnEnF,Assault Bike,air bike,full body,,CARDIO,"QUADS, CORE",BIKE,cardio,loaded carry,cardio,compound,bilateral,no,INTERMEDIATE,no,distance_time,10,20,,,,,,,active,EXISTING
exl_qDlwNas257,Battle Ropes,battling ropes | ropes,full body,,CARDIO,"SHOULDERS, ARMS, CORE",BODYWEIGHT,bodyweight,loaded carry,bodyweight,compound,bilateral,yes,INTERMEDIATE,no,distance_time,20,40,,,,,,,active,EXISTING
exl_2Gq2KY8JLQ,Elliptical,cross trainer,full body,,CARDIO,"QUADS, GLUTES, CORE",MACHINE,machine,loaded carry,machine,compound,bilateral,no,BEGINNER,yes,distance_time,20,40,,,,,,,active,EXISTING
exl_4GoqhVf2BW,Incline Treadmill Walk,,full body,,CARDIO,"GLUTES, CALVES",TREADMILL,cardio,loaded carry,cardio,compound,bilateral,no,BEGINNER,yes,distance_time,10,20,,,,,,,active,EXISTING
exl_McDjJfcvs1,Jump Rope,skipping rope | skip rope,full body,,CARDIO,"CALVES, CORE, FOREARMS",BODYWEIGHT,bodyweight,loaded carry,bodyweight,compound,bilateral,yes,BEGINNER,yes,distance_time,20,40,,,,,,,active,EXISTING
exl_a5tA2naZDl,Rowing Machine,erg | rower,full body,,CARDIO,"UPPER BACK, LATS, QUADS",ROWING,cardio,loaded carry,cardio,compound,bilateral,no,BEGINNER,yes,distance_time,10,20,,,,,,,active,EXISTING
exl_jkA0RoeDn0,Ski Erg,,full body,,CARDIO,"LATS, SHOULDERS, CORE",MACHINE,machine,loaded carry,machine,compound,bilateral,no,INTERMEDIATE,no,distance_time,20,40,,,,,,,active,EXISTING
exl_Xtg7v8KDRc,Sprint Intervals,,full body,,CARDIO,"QUADS, GLUTES, CALVES",TREADMILL,cardio,loaded carry,cardio,compound,bilateral,no,ADVANCED,no,distance_time,10,20,,,,,,,active,EXISTING
exl_V53H2m24dK,Stair Climber,stairs | stairmaster,full body,,CARDIO,"QUADS, GLUTES, CALVES",MACHINE,machine,loaded carry,machine,compound,bilateral,no,BEGINNER,yes,distance_time,20,40,,,,,,,active,EXISTING
exl_pyrhhussgU,Stationary Cycling,,full body,,CARDIO,"QUADS, CALVES",BIKE,cardio,loaded carry,cardio,compound,bilateral,no,BEGINNER,yes,distance_time,10,20,,,,,,,active,EXISTING
exl_ChNH07l61g,Treadmill Run,,full body,,CARDIO,"CALVES, QUADS",TREADMILL,cardio,loaded carry,cardio,compound,bilateral,no,BEGINNER,yes,distance_time,10,20,,,,,,,active,EXISTING
exl_sQm6H1TKhV,Archer Push-Up,archer push up,chest,,CHEST,"TRICEPS, CORE",BODYWEIGHT,bodyweight,horizontal push,bodyweight,compound,unilateral,yes,ADVANCED,no,bodyweight_reps,4,10,,,,,push_up | deficit_push_up,,active,NEW
exl_57u3gVq3cd,Assisted Dip (Machine),assisted dip,chest,,CHEST,"TRICEPS, FRONT DELTS",MACHINE,machine,horizontal push,machine,compound,bilateral,no,BEGINNER,yes,weight_reps,6,12,,,,chest_dip | weighted_dip,,machine_chest_press,active,NEW
exl_DCeMdgFUth,Band Chest Press,,chest,,CHEST,TRICEPS,BANDS,functional,horizontal push,bodyweight,compound,bilateral,no,BEGINNER,yes,weight_reps,6,10,,,,,,med_ball_chest_pass,active,EXISTING
exl_l79Gnp7aj5,Bench Press,flat bench | barbell bench | bench | bench press,chest,,CHEST,"CHEST, TRICEPS, FRONT DELTS",BARBELL,free weights,horizontal push,free_weight,compound,bilateral,no,INTERMEDIATE,no,weight_reps,6,10,,,,,,,active,EXISTING
exl_eeZRvVcmdK,Cable Fly,cable flies | chest fly,chest,,CHEST,FRONT DELTS,CABLE,cable,isolation,cable,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_4ZA2AoGx7v,Chest Dip,,chest,,CHEST,"TRICEPS, FRONT DELTS",BODYWEIGHT,bodyweight,horizontal push,bodyweight,compound,bilateral,yes,INTERMEDIATE,no,weighted_bodyweight,6,10,,,,ring_dip,assisted_dip,,active,EXISTING
exl_zlXBJ9Os5u,Deficit Push-Up,deep push up | push up on handles | deficit push up,chest,,CHEST,"TRICEPS, CORE",BODYWEIGHT,bodyweight,horizontal push,bodyweight,compound,bilateral,yes,INTERMEDIATE,no,bodyweight_reps,8,15,,,,archer_push_up | weighted_dip,push_up,,active,NEW
exl_Dr5EeZ2tTd,Dumbbell Bench Press,db bench | dumbbell press,chest,,CHEST,"TRICEPS, FRONT DELTS",DUMBBELL,free weights,horizontal push,free_weight,compound,bilateral,no,BEGINNER,yes,weight_reps,6,10,,,,,,db_floor_press | single_arm_db_bench | iso_lateral_chest_press,active,EXISTING
exl_6NoVXcDUWc,Dumbbell Floor Press,db floor press,chest,,CHEST,TRICEPS,DUMBBELL,free weights,horizontal push,free_weight,compound,bilateral,no,BEGINNER,yes,weight_reps,8,12,,,,,,dumbbell_bench_press | floor_press,active,NEW
exl_H4WI9owBpJ,Dumbbell Fly,,chest,,CHEST,FRONT DELTS,DUMBBELL,free weights,isolation,free_weight,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_EiUKY7k6AB,Dumbbell Pullover,,chest,,CHEST,"LATS, TRICEPS",DUMBBELL,free weights,vertical pull,free_weight,compound,bilateral,no,INTERMEDIATE,no,weight_reps,6,10,,,,,,cable_pullover,active,EXISTING
exl_cSf6H3ysrV,Floor Press,,chest,,CHEST,TRICEPS,BARBELL,free weights,horizontal push,free_weight,compound,bilateral,no,INTERMEDIATE,no,weight_reps,6,10,,,,,,db_floor_press,active,EXISTING
exl_Fa2Gi0vCQ5,Incline Push-up,,chest,,CHEST,"TRICEPS, CORE",BODYWEIGHT,bodyweight,horizontal push,bodyweight,compound,bilateral,yes,BEGINNER,yes,bodyweight_reps,6,10,,,,,,,active,EXISTING
exl_ih5nE1wFTW,Iso-Lateral Chest Press,iso lateral chest press,chest,,CHEST,"TRICEPS, FRONT DELTS",MACHINE,machine,horizontal push,machine,compound,unilateral,no,BEGINNER,yes,weight_reps,8,12,,,,,,dumbbell_bench_press | machine_chest_press,active,NEW
exl_SEq248iaD4,Landmine Press,,chest,,CHEST,"SHOULDERS, TRICEPS, CORE",BARBELL,free weights,vertical push,free_weight,compound,bilateral,no,INTERMEDIATE,no,weight_reps,6,10,,,,,,,active,EXISTING
exl_LvofD1XL6O,Machine Chest Press,chest press machine | machine press | converging chest press machine | converging chest press | converging press,chest,,CHEST,"TRICEPS, FRONT DELTS",MACHINE,machine,horizontal push,machine,compound,bilateral,no,BEGINNER,yes,weight_reps,6,10,,,,,,assisted_dip | iso_lateral_chest_press,active,EXISTING
exl_5oGlJFzTzT,Machine Fly,,chest,,CHEST,FRONT DELTS,MACHINE,machine,isolation,machine,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_OQQxjIM9jx,Medicine Ball Chest Pass,explosive chest pass | med ball push pass,chest,,CHEST,"TRICEPS, SHOULDERS",MEDICINE_BALL,functional,horizontal push,free_weight,compound,bilateral,no,BEGINNER,yes,weight_reps,6,10,,,,,,band_chest_press | med_ball_slam,active,NEW
exl_jtE9TstBHi,Pec Deck Fly,,chest,,CHEST,FRONT DELTS,MACHINE,machine,isolation,machine,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_JVMyPP3twH,Push-up,pushup | press up,chest,,CHEST,"TRICEPS, CORE",BODYWEIGHT,bodyweight,horizontal push,bodyweight,compound,bilateral,yes,BEGINNER,yes,bodyweight_reps,6,10,,,,trx_push_up | ring_push_up | archer_push_up | deficit_push_up,,,active,EXISTING
exl_zu0hnhKydg,Ring Dip,,chest,,CHEST,"TRICEPS, FRONT DELTS",RINGS,functional,horizontal push,bodyweight,compound,bilateral,yes,ADVANCED,no,bodyweight_reps,5,10,,,,ring_muscle_up,ring_push_up | ring_support_hold | bench_dip | chest_dip,,active,NEW
exl_Aez8QNHqV7,Ring Push-Up,ring push up,chest,,CHEST,"TRICEPS, CORE",RINGS,functional,horizontal push,bodyweight,compound,bilateral,yes,INTERMEDIATE,no,bodyweight_reps,8,15,,,,ring_dip,push_up,trx_push_up,active,NEW
exl_GvUPqtuJz6,Single-Arm Dumbbell Bench Press,single arm dumbbell bench press | one arm dumbbell bench press | single arm db bench press,chest,,CHEST,"TRICEPS, CORE",DUMBBELL,free weights,horizontal push,free_weight,compound,unilateral,no,INTERMEDIATE,no,weight_reps,8,12,,,,,,dumbbell_bench_press,active,NEW
exl_oIMtiaZWJh,Svend Press,,chest,,CHEST,TRICEPS,DUMBBELL,free weights,horizontal push,free_weight,compound,bilateral,no,BEGINNER,yes,weight_reps,6,10,,,,,,,active,EXISTING
