id,scope,name,primary_muscle,secondary_muscles,equipment,movement,ex_type,difficulty,animation_key,aliases,muscle_rows,workout_exercise_refs,client_workout_refs,workout_log_rows,set_log_rows,pr_rows,has_instructions,has_cues,has_mistakes,has_alternatives
exl_51BLHgFPLk,GLOBAL,Ab Wheel Rollout,ABS,"CORE, LATS",BODYWEIGHT,core,bodyweight,ADVANCED,ab_wheel,,3,0,0,0,0,0,0,0,0,0
exl_pjlTJfid8Q,GLOBAL,Bicycle Crunch,ABS,"OBLIQUES, CORE",BODYWEIGHT,core,bodyweight,BEGINNER,bicycle_crunch,,2,0,0,0,0,0,0,0,0,0
exl_nwJHryk7zD,GLOBAL,Cable Crunch,ABS,CORE,CABLE,core,cable,BEGINNER,cable_crunch,,2,202,1,169,507,0,0,0,0,0
exl_AWDLmS7syX,GLOBAL,Hanging Leg Raise,ABS,CORE,BODYWEIGHT,core,bodyweight,INTERMEDIATE,hanging_leg_raise,,2,101,1,88,264,0,0,0,0,0
exl_0FvMzPKeB3,GLOBAL,Reverse Crunch,ABS,CORE,BODYWEIGHT,core,bodyweight,BEGINNER,reverse_crunch,,2,0,0,0,0,0,0,0,0,0
exl_kIE1ergiWf,GLOBAL,Russian Twist,ABS,"OBLIQUES, CORE",BODYWEIGHT,core,bodyweight,BEGINNER,russian_twist,,2,101,1,88,264,0,0,0,0,0
exl_gAGgkfrdjO,GLOBAL,V-Up,ABS,"CORE, HIP FLEXORS",BODYWEIGHT,core,bodyweight,INTERMEDIATE,v_up,,2,0,0,0,0,0,0,0,0,0
exl_u6q9eIJam7,GLOBAL,Windshield Wiper,ABS,"OBLIQUES, CORE",BODYWEIGHT,core,bodyweight,ADVANCED,windshield_wiper,,2,0,0,0,0,0,0,0,0,0
exl_POe2mwkxmE,GLOBAL,Band Bicep Curl,BICEPS,FOREARMS,BANDS,isolation,bodyweight,BEGINNER,band_curl,,2,0,0,0,0,0,0,0,0,0
exl_3biU4u0LDR,GLOBAL,Barbell Curl,BICEPS,FOREARMS,BARBELL,isolation,free_weight,BEGINNER,barbell_curl,,2,0,0,0,0,0,0,0,0,0
exl_AQVL4ZsUtT,GLOBAL,Bayesian Cable Curl,BICEPS,FOREARMS,CABLE,isolation,cable,INTERMEDIATE,bayesian_curl,,2,0,0,0,0,0,0,0,0,0
exl_Rolt3Vd3fD,GLOBAL,Bicep Curl,BICEPS,FOREARMS,DUMBBELL,isolation,free_weight,BEGINNER,bicep_curl,curl | barbell curl,2,102,1,80,240,0,0,0,0,0
exl_NKr6oLwyiW,GLOBAL,Cable Curl,BICEPS,FOREARMS,CABLE,isolation,cable,BEGINNER,cable_curl,,2,0,0,0,0,0,0,0,0,0
exl_nM8M3WD5Pt,GLOBAL,Concentration Curl,BICEPS,FOREARMS,DUMBBELL,isolation,free_weight,BEGINNER,concentration_curl,,2,0,0,0,0,0,0,0,0,0
exl_pEjSS5UxrH,GLOBAL,Drag Curl,BICEPS,FOREARMS,BARBELL,isolation,free_weight,INTERMEDIATE,drag_curl,,2,0,0,0,0,0,0,0,0,0
exl_zhZwcb1dGL,GLOBAL,EZ-Bar Curl,BICEPS,FOREARMS,BARBELL,isolation,free_weight,BEGINNER,ez_bar_curl,,2,0,0,0,0,0,0,0,0,0
exl_Mml1I1Qqog,GLOBAL,Hammer Curl,BICEPS,"FOREARMS, BRACHIALIS",DUMBBELL,isolation,free_weight,BEGINNER,hammer_curl,hammer curls | db hammer curl,2,0,0,0,0,0,0,0,0,0
exl_kPTOLzefV8,GLOBAL,Incline Dumbbell Curl,BICEPS,FOREARMS,DUMBBELL,isolation,free_weight,INTERMEDIATE,incline_curl,,2,0,0,0,0,0,0,0,0,0
exl_8YLb0jf9hh,GLOBAL,Preacher Curl,BICEPS,FOREARMS,BARBELL,isolation,free_weight,INTERMEDIATE,preacher_curl,,2,0,0,0,0,0,0,0,0,0
exl_Rj80nr42Ki,GLOBAL,Spider Curl,BICEPS,FOREARMS,BARBELL,isolation,free_weight,INTERMEDIATE,spider_curl,,2,0,0,0,0,0,0,0,0,0
exl_fVZ71TX3bb,GLOBAL,Calf Press on Leg Press,CALVES,—,LEG_PRESS,isolation,machine,BEGINNER,calf_press_leg_press,,1,0,0,0,0,0,0,0,0,0
exl_uMyqICelD7,GLOBAL,Donkey Calf Raise,CALVES,—,MACHINE,isolation,machine,BEGINNER,donkey_calf_raise,,1,0,0,0,0,0,0,0,0,0
exl_Xs4YmnFVns,GLOBAL,Seated Calf Raise,CALVES,—,MACHINE,isolation,machine,BEGINNER,seated_calf_raise,,1,0,0,0,0,0,0,0,0,0
exl_TtXOyytW1U,GLOBAL,Single-Leg Calf Raise,CALVES,—,BODYWEIGHT,isolation,bodyweight,BEGINNER,single_leg_calf_raise,,1,0,0,0,0,0,0,0,0,0
exl_3UmT49H2Y1,GLOBAL,Standing Calf Raise,CALVES,—,MACHINE,isolation,machine,BEGINNER,standing_calf_raise,,1,101,1,84,252,0,0,0,0,0
exl_Mzznkck355,GLOBAL,Tibialis Raise,CALVES,—,BODYWEIGHT,isolation,bodyweight,BEGINNER,tibialis_raise,,1,0,0,0,0,0,0,0,0,0
exl_18ILsdnEnF,GLOBAL,Assault Bike,CARDIO,"QUADS, CORE",BIKE,carry,cardio,INTERMEDIATE,assault_bike,air bike,2,0,0,0,0,0,0,0,0,0
exl_qDlwNas257,GLOBAL,Battle Ropes,CARDIO,"SHOULDERS, ARMS, CORE",BODYWEIGHT,carry,bodyweight,INTERMEDIATE,battle_ropes,battling ropes | ropes,3,0,0,0,0,0,0,0,0,0
exl_2Gq2KY8JLQ,GLOBAL,Elliptical,CARDIO,"QUADS, GLUTES, CORE",MACHINE,carry,machine,BEGINNER,elliptical,cross trainer,3,0,0,0,0,0,0,0,0,0
exl_4GoqhVf2BW,GLOBAL,Incline Treadmill Walk,CARDIO,"GLUTES, CALVES",TREADMILL,carry,cardio,BEGINNER,incline_walk,,2,0,0,0,0,0,0,0,0,0
exl_McDjJfcvs1,GLOBAL,Jump Rope,CARDIO,"CALVES, CORE, FOREARMS",BODYWEIGHT,carry,bodyweight,BEGINNER,jump_rope,skipping rope | skip rope,3,0,0,0,0,0,0,0,0,0
exl_a5tA2naZDl,GLOBAL,Rowing Machine,CARDIO,"UPPER BACK, LATS, QUADS",ROWING,carry,cardio,BEGINNER,rowing_machine,erg | rower,3,0,0,0,0,0,0,0,0,0
exl_jkA0RoeDn0,GLOBAL,Ski Erg,CARDIO,"LATS, SHOULDERS, CORE",MACHINE,carry,machine,INTERMEDIATE,ski_erg,,3,0,0,0,0,0,0,0,0,0
exl_Xtg7v8KDRc,GLOBAL,Sprint Intervals,CARDIO,"QUADS, GLUTES, CALVES",TREADMILL,carry,cardio,ADVANCED,sprint_intervals,,3,0,0,0,0,0,0,0,0,0
exl_V53H2m24dK,GLOBAL,Stair Climber,CARDIO,"QUADS, GLUTES, CALVES",MACHINE,carry,machine,BEGINNER,stair_climber,stairs | stairmaster,3,0,0,0,0,0,0,0,0,0
exl_pyrhhussgU,GLOBAL,Stationary Cycling,CARDIO,"QUADS, CALVES",BIKE,carry,cardio,BEGINNER,cycling,,2,0,0,0,0,0,0,0,0,0
exl_ChNH07l61g,GLOBAL,Treadmill Run,CARDIO,"CALVES, QUADS",TREADMILL,carry,cardio,BEGINNER,treadmill_run,,2,0,0,0,0,0,0,0,0,0
