exercise,tier,body_weight_kg,baseline_rate_kcal_min,correction_kcal_min,active_rate_kcal_min,duration_min,estimated_kcal,flags
BENCH_PRESS,light,78.67,4.1301749999999995,0.109,4.2391749999999995,30,127,
BENCH_PRESS,light,78.67,4.1301749999999995,0.109,4.2391749999999995,45,191,
BENCH_PRESS,light,78.67,4.1301749999999995,0.109,4.2391749999999995,60,254,
BENCH_PRESS,light,78.67,4.1301749999999995,0.109,4.2391749999999995,75,318,
BENCH_PRESS,light,78.67,4.1301749999999995,0.109,4.2391749999999995,90,382,
BENCH_PRESS,light,78.67,4.1301749999999995,0.109,4.2391749999999995,120,509,
BENCH_PRESS,moderate,78.67,6.1952625,-1.672,4.5232625,30,136,
BENCH_PRESS,moderate,78.67,6.1952625,-1.672,4.5232625,45,204,
BENCH_PRESS,moderate,78.67,6.1952625,-1.672,4.5232625,60,271,
BENCH_PRESS,moderate,78.67,6.1952625,-1.672,4.5232625,75,339,
BENCH_PRESS,moderate,78.67,6.1952625,-1.672,4.5232625,90,407,
BENCH_PRESS,moderate,78.67,6.1952625,-1.672,4.5232625,120,543,
BENCH_PRESS,hard,78.67,8.260349999999999,3.172,11.43235,30,343,
BENCH_PRESS,hard,78.67,8.260349999999999,3.172,11.43235,45,514,
BENCH_PRESS,hard,78.67,8.260349999999999,3.172,11.43235,60,686,
BENCH_PRESS,hard,78.67,8.260349999999999,3.172,11.43235,75,857,
BENCH_PRESS,hard,78.67,8.260349999999999,3.172,11.43235,90,1029,
BENCH_PRESS,hard,78.67,8.260349999999999,3.172,11.43235,120,1372,
INCLINE_BENCH_PRESS,light,78.67,4.1301749999999995,1.094,5.224175,30,157,
INCLINE_BENCH_PRESS,light,78.67,4.1301749999999995,1.094,5.224175,45,235,
INCLINE_BENCH_PRESS,light,78.67,4.1301749999999995,1.094,5.224175,60,313,
INCLINE_BENCH_PRESS,light,78.67,4.1301749999999995,1.094,5.224175,75,392,
INCLINE_BENCH_PRESS,light,78.67,4.1301749999999995,1.094,5.224175,90,470,
INCLINE_BENCH_PRESS,light,78.67,4.1301749999999995,1.094,5.224175,120,627,
INCLINE_BENCH_PRESS,moderate,78.67,6.1952625,-0.031,6.1642625,30,185,
INCLINE_BENCH_PRESS,moderate,78.67,6.1952625,-0.031,6.1642625,45,277,
INCLINE_BENCH_PRESS,moderate,78.67,6.1952625,-0.031,6.1642625,60,370,
INCLINE_BENCH_PRESS,moderate,78.67,6.1952625,-0.031,6.1642625,75,462,
INCLINE_BENCH_PRESS,moderate,78.67,6.1952625,-0.031,6.1642625,90,555,
